	0	19	0	1072025	31072025	SUPERMERCADO FRUTILÂNDIA LTDA	4,79296E+12		MS	283206993	5007901			A	1																							
	C170	7	PROD19214	SALSAO UNIDADE	5	UN	40	0	0	20	1102	NAT01102	16,47	17	2,8	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	8	PROD18719	ERVA AROMATICA UNIDADE	18	UN	60	0	0	20	1102	NAT01102	24,71	17	4,2	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C190	0	1102	17	35	35	5,95	0	0	0	0																											
	C190	20	1102	17	1240	510,58	86,8	0	0	729,42	0																											
	C100	0	1	FORN528	55	0	0	6772	5,02507E+43	18072025	18072025	1020	1	0	0	1020	9	0	0	0	440,58	74,9	0	0	0	0	0	0	0									
	C170	1	PROD18719	ERVA AROMATICA UNIDADE	54	UN	190	0	0	20	1102	NAT01102	78,24	17	13,3	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	2	PROD18600	BARDANA OU GOBO UN.	8	UN	25	0	0	20	1102	NAT01102	10,29	17	1,75	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	3	PROD19100	ALHO PORO UND	8	UN	35	0	0	0	1102	NAT01102	35	17	5,95	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	4	PROD19244	PEPINO COMUM KG	18	KG	120	0	0	20	1102	NAT01102	49,41	17	8,4	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	5	PROD19245	PEPINO JAPONES KG	20	KG	150	0	0	20	1102	NAT01102	61,76	17	10,5	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	6	PROD19270	PIMENTAO VERDE KG	36	KG	330	0	0	20	1102	NAT01102	135,88	17	23,1	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	7	PROD19265	VAGEM KG	13	KG	170	0	0	20	1102	NAT01102	70	17	11,9	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C190	0	1102	17	35	35	5,95	0	0	0	0																											
	C190	20	1102	17	985	405,58	68,95	0	0	579,42	0																											
	C100	0	1	FORN528	55	0	0	6829	5,02507E+43	22072025	22072025	825	1	0	0	825	9	0	0	0	360,29	61,25	0	0	0	0	0	0	0									
	C170	1	PROD19100	ALHO PORO UND	8	UN	35	0	0	0	1102	NAT01102	35	17	5,95	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	2	PROD19245	PEPINO JAPONES KG	20	KG	130	0	0	20	1102	NAT01102	53,53	17	9,1	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	3	PROD19270	PIMENTAO VERDE KG	24	KG	200	0	0	20	1102	NAT01102	82,35	17	14	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	4	PROD19265	VAGEM KG	13	KG	160	0	0	20	1102	NAT01102	65,88	17	11,2	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	5	PROD19091	PINHAO KG	18	KG	250	0	0	20	1102	NAT01102	102,94	17	17,5	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	6	PROD18719	ERVA AROMATICA UNIDADE	15	UN	50	0	0	20	1102	NAT01102	20,59	17	3,5	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C190	0	1102	17	35	35	5,95	0	0	0	0																											
	C190	20	1102	17	790	325,29	55,3	0	0	464,71	0																											
	C100	0	1	FORN528	55	0	0	6884	5,02507E+43	25072025	25072025	554	1	0	0	554	9	0	0	0	248,69	42,28	0	0	0	0	0	0	0									
	C170	1	PROD19221	COENTRO FRESCO UN.	20	UN	80	0	0	20	1102	NAT01102	32,94	17	5,6	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	2	PROD19100	ALHO PORO UND	8	UN	35	0	0	0	1102	NAT01102	35	17	5,95	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	3	PROD19213	NABO UND	8	UN	25	0	0	20	1102	NAT01102	10,29	17	1,75	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	4	PROD19245	PEPINO JAPONES KG	20	KG	120	0	0	20	1102	NAT01102	49,41	17	8,4	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	5	PROD19270	PIMENTAO VERDE KG	2	KG	24	0	0	20	1102	NAT01102	9,88	17	1,68	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	6	PROD19214	SALSAO UNIDADE	5	UN	40	0	0	20	1102	NAT01102	16,47	17	2,8	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	7	PROD18221	PIMENTA CAROLINA REAPER KG	1	KG	70	0	0	20	1102	NAT01102	28,82	17	4,9	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	8	PROD18719	ERVA AROMATICA UNIDADE	15	UN	50	0	0	20	1102	NAT01102	20,59	17	3,5	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	9	PROD4200	ROMA KG	6	KG	110	0	0	20	1102	NAT01102	45,29	17	7,7	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C190	0	1102	17	35	35	5,95	0	0	0	0																											
	C190	20	1102	17	519	213,69	36,33	0	0	305,31	0																											
	C100	0	1	FORN528	55	0	0	6940	5,02507E+43	29072025	29072025	1075	1	0	0	1075	9	0	0	0	442,65	75,25	0	0	0	0	0	0	0									
	C170	1	PROD19251	CAQUI CHOCOLATE/FUIU KG	90	KG	540	0	0	20	1102	NAT01102	222,36	17	37,8	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	2	PROD19218	ESPINAFRE UN.	5	UN	30	0	0	20	1102	NAT01102	12,35	17	2,1	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	3	PROD19213	NABO UND	8	UN	25	0	0	20	1102	NAT01102	10,29	17	1,75	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	4	PROD19244	PEPINO COMUM KG	36	KG	240	0	0	20	1102	NAT01102	98,82	17	16,8	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	5	PROD19245	PEPINO JAPONES KG	20	KG	140	0	0	20	1102	NAT01102	57,65	17	9,8	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	6	PROD18719	ERVA AROMATICA UNIDADE	30	UN	100	0	0	20	1102	NAT01102	41,18	17	7	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C190	20	1102	17	1075	442,65	75,25	0	0	632,35	0																											
	C100	0	1	FORN403	55	0	0	259194	5,02507E+43	4072025	7072025	848,45	1	0	0	848,45	9	0	0	0	31,08	5,28	0	0	0	0	0	0	0									
	C170	1	PROD30544	IOGURTE NESTLE 1,25KG MORANGO	6	UN	91,26	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	2	PROD31482	IOGURTE NINHO 850G MACA BANANA	6	UN	87,6	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	3	PROD30540	IOGURTE NINHO 170G MACA BANANA	6	UN	19,8	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	4	PROD30539	IOGURTE NINHO 170G MORANGO	6	UN	19,8	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	5	PROD16343	PETIT SUISSE CHAMBINHO 320G MORANGO	16	UN	124,64	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
